material,prod_desc,demand_3m,shipped_3m
40725,Nor HCL OS USP 10mg/5mL Bas 473 PET US,5738,0
40725,Nor HCL OS USP 10mg/5mL Bas 473 PET US,1162,0
40725,Nor HCL OS USP 10mg/5mL Bas 473 PET US,2324,0
40726,Baclofen Tab USP 10mg 1000,232821,0
40726,Baclofen Tab USP 10mg 1000,15953,0
40726,Baclofen Tab USP 10mg 1000,32098,0
40727,Baclofen Tab USP 20mg 500,192,0
40727,Baclofen Tab USP 20mg 500,384,0
40728,Cyclobenzaprine HCl Tab USP 5mg 1000,7995,0
40728,Cyclobenzaprine HCl Tab USP 5mg 1000,3554,0
40728,Cyclobenzaprine HCl Tab USP 5mg 1000,7122,0
40729,Baclofen Tab USP 20mg 1000,52478,0
40729,Baclofen Tab USP 20mg 1000,5074,0
40729,Baclofen Tab USP 20mg 1000,10341,0
40730,Amantadine HCl Cap USP 100mg 500,9967,0
40730,Amantadine HCl Cap USP 100mg 500,2102,0
40730,Amantadine HCl Cap USP 100mg 500,4203,0
40734,"POTASSIUM CHLORIDE ORAL SOLUTION USP,20%",117423,0
40734,"POTASSIUM CHLORIDE ORAL SOLUTION USP,20%",5655,0
40734,"POTASSIUM CHLORIDE ORAL SOLUTION USP,20%",11581,0
40741,Sildenafil Tab USP 20mg 1000,11995,0
40741,Sildenafil Tab USP 20mg 1000,810,0
40741,Sildenafil Tab USP 20mg 1000,1609,0
40742,Tramadol HCl Tab USP 100mg 100,72015,0
40742,Tramadol HCl Tab USP 100mg 100,25850,0
40742,Tramadol HCl Tab USP 100mg 100,50358,0
40754,Lithium OS USP 8 mEq Per 5 mL 500 HD US,29292,0
40754,Lithium OS USP 8 mEq Per 5 mL 500 HD US,1050,0
40754,Lithium OS USP 8 mEq Per 5 mL 500 HD US,2073,0
40759,Pot Chl OS USP 10% (20mEq/15ml) 473HD US,146154,0
40759,Pot Chl OS USP 10% (20mEq/15ml) 473HD US,40702,0
40759,Pot Chl OS USP 10% (20mEq/15ml) 473HD US,81189,0
40774,Tranexamic Acid Tab USP 650 mg 30,84593,0
40774,Tranexamic Acid Tab USP 650 mg 30,54365,0
40774,Tranexamic Acid Tab USP 650 mg 30,115006,0
40781,Bisoprolol Fum Tab USP 5 mg 30,540,0
40781,Bisoprolol Fum Tab USP 5 mg 30,1080,0
40782,Bisoprolol Fum Tab USP 5 mg 100,42791,0
40782,Bisoprolol Fum Tab USP 5 mg 100,8790,0
40782,Bisoprolol Fum Tab USP 5 mg 100,18781,0
40785,Bisoprolol Fum Tab USP 10 mg 100,23099,0
40785,Bisoprolol Fum Tab USP 10 mg 100,36431,0
40785,Bisoprolol Fum Tab USP 10 mg 100,4264,0
40785,Bisoprolol Fum Tab USP 10 mg 100,7584,0
40796,Clonazepam Tab USP 0.5mg 500,66012,0
40796,Clonazepam Tab USP 0.5mg 500,60340,0
40796,Clonazepam Tab USP 0.5mg 500,120807,0
40797,Clonazepam Tab USP 1mg 500,122205,0
40797,Clonazepam Tab USP 1mg 500,57573,0
40797,Clonazepam Tab USP 1mg 500,115160,0
40798,Clonazepam Tab USP 2mg 500,20821,0
40798,Clonazepam Tab USP 2mg 500,8679,0
40798,Clonazepam Tab USP 2mg 500,17552,0
40809,Gabapentin OS 250 mg/5 mL 470 PET US,19938,0
40809,Gabapentin OS 250 mg/5 mL 470 PET US,14032,0
40809,Gabapentin OS 250 mg/5 mL 470 PET US,28700,0
40815,Potassium Chl ER Tab USP 10mEq 500 AB3,8,0
40816,Potassium Chl Ora sol 20mEq 50,2274,0
40816,Potassium Chl Ora sol 20mEq 50,1266,0
40816,Potassium Chl Ora sol 20mEq 50,2731,0
40817,Carbi + Levo tab USP 10/100mg 500,26,0
40817,Carbi + Levo tab USP 10/100mg 500,16,0
40828,Buprenorphine Sl Tab 2 Mg 30,166097,0
40828,Buprenorphine Sl Tab 2 Mg 30,28280,0
40828,Buprenorphine Sl Tab 2 Mg 30,85220,0
40830,Buprenorphine Sl Tab 8 Mg 30,134996,0
40830,Buprenorphine Sl Tab 8 Mg 30,66327,0
40830,Buprenorphine Sl Tab 8 Mg 30,134970,0
40832,Carbi + Levo tab USP 25/100mg 500,37419,0
40832,Carbi + Levo tab USP 25/100mg 500,422,0
40832,Carbi + Levo tab USP 25/100mg 500,844,0
40833,Carbi + Levo tab USP 25/250mg 500,116,0
40833,Carbi + Levo tab USP 25/250mg 500,223,0
40834,Triamterene & HCTZ Tab USP 37.5/25mg 500,17606,0
40834,Triamterene & HCTZ Tab USP 37.5/25mg 500,7537,0
40834,Triamterene & HCTZ Tab USP 37.5/25mg 500,14840,0
40835,Triamterene & HCTZ Tab USP 75/50 mg 500,20133,0
40835,Triamterene & HCTZ Tab USP 75/50 mg 500,657,0
40835,Triamterene & HCTZ Tab USP 75/50 mg 500,1337,0
40841,"Baclofen Oral Sol. 5mg/5ml, 473ml",2018,0
40841,"Baclofen Oral Sol. 5mg/5ml, 473ml",1168,0
40841,"Baclofen Oral Sol. 5mg/5ml, 473ml",2336,0
40842,Lidocaine Oral Topi Soln USP 2% 100ml,558215,0
40842,Lidocaine Oral Topi Soln USP 2% 100ml,283509,0
40842,Lidocaine Oral Topi Soln USP 2% 100ml,551742,0
40854,DHE NS USP 4 mg/ml 1's,5065,0
40854,DHE NS USP 4 mg/ml 1's,7103,0
40854,DHE NS USP 4 mg/ml 1's,908,0
40854,DHE NS USP 4 mg/ml 1's,1916,0
40855,DHE NS USP 4 mg/ml 8's,29639,0
40855,DHE NS USP 4 mg/ml 8's,1281,0
40855,DHE NS USP 4 mg/ml 8's,2698,0
40864,Cevimeline HCl Cap 30mg 100,143342,0
40864,Cevimeline HCl Cap 30mg 100,3328,0
40864,Cevimeline HCl Cap 30mg 100,6656,0
40865,Loperamide HCL Cap USP 2mg 100,159675,0
40865,Loperamide HCL Cap USP 2mg 100,12967,0
40865,Loperamide HCL Cap USP 2mg 100,28897,0
40866,Loperamide HCL Cap USP 2mg 500,2477,0
40866,Loperamide HCL Cap USP 2mg 500,4907,0
40866,Loperamide HCL Cap USP 2mg 500,47,0
40866,Loperamide HCL Cap USP 2mg 500,94,0
40879,Diclofenac Sod DR Tab USP 75mg 500,1105,0
40879,Diclofenac Sod DR Tab USP 75mg 500,1909,0
40879,Diclofenac Sod DR Tab USP 75mg 500,74,0
40879,Diclofenac Sod DR Tab USP 75mg 500,148,0
40880,Guanfacine Tab USP 1mg 100,22657,0
40880,Guanfacine Tab USP 1mg 100,31134,0
40880,Guanfacine Tab USP 1mg 100,66574,0
40882,Guanfacine Tab USP 2mg 100,11634,0
40882,Guanfacine Tab USP 2mg 100,4004,0
40882,Guanfacine Tab USP 2mg 100,9278,0
40886,Ipratropium Bro. Nasal Spray 0.06% 15 ml,195950,0
40887,Ipratropium Bro. Nasal Spray 0.03% 30 ml,111677,0
40887,Ipratropium Bro. Nasal Spray 0.03% 30 ml,66056,0
40900,Acyclovir OSP USP 200mg/5ml 473 HD US,162234,0
40900,Acyclovir OSP USP 200mg/5ml 473 HD US,2,0
40900,Acyclovir OSP USP 200mg/5ml 473 HD US,502,0
40900,Acyclovir OSP USP 200mg/5ml 473 HD US,3003,0
40905,Glipizide Tab USP 5 mg 100,15406,0
40905,Glipizide Tab USP 5 mg 100,2997,0
40905,Glipizide Tab USP 5 mg 100,5994,0
40906,Glipizide Tab USP 5 mg 500,15663,0
40906,Glipizide Tab USP 5 mg 500,2045,0
40906,Glipizide Tab USP 5 mg 500,4089,0
40907,Glipizide Tab USP 10mg 100,14423,0
40907,Glipizide Tab USP 10mg 100,3777,0
40907,Glipizide Tab USP 10mg 100,7555,0
40908,Glipizide Tab USP 10mg 500,41677,0
40908,Glipizide Tab USP 10mg 500,1768,0
40908,Glipizide Tab USP 10mg 500,3537,0
40910,Aripiprazole OS 1mg/ml 150 PET US,15606,0
40910,Aripiprazole OS 1mg/ml 150 PET US,7143,0
40910,Aripiprazole OS 1mg/ml 150 PET US,10369,0
40928,Mycophenolate Mof Tab USP 500mg 500,4618,0
40928,Mycophenolate Mof Tab USP 500mg 500,1212,0
40928,Mycophenolate Mof Tab USP 500mg 500,2424,0
40929,Mycophenolate Mof Tab USP 500mg 100,34904,0
40929,Mycophenolate Mof Tab USP 500mg 100,29552,0
40929,Mycophenolate Mof Tab USP 500mg 100,59104,0
40937,"Mycophenolate Mof Cap USP 250mg, 100",58963,0
40937,"Mycophenolate Mof Cap USP 250mg, 100",56503,0
40937,"Mycophenolate Mof Cap USP 250mg, 100",113007,0
40938,"Mycophenolate Mof Cap USP 250mg, 500",6374,0
40938,"Mycophenolate Mof Cap USP 250mg, 500",4371,0
40938,"Mycophenolate Mof Cap USP 250mg, 500",8868,0
40962,OXCARBAZEPINE OSP USP 300MG/5ML 250GL US,14963,0
40962,OXCARBAZEPINE OSP USP 300MG/5ML 250GL US,5666,0
40962,OXCARBAZEPINE OSP USP 300MG/5ML 250GL US,11332,0
40969,Desvenlafaxine ER Tab 50 mg 90,29727,0
40969,Desvenlafaxine ER Tab 50 mg 90,8105,0
40969,Desvenlafaxine ER Tab 50 mg 90,16203,0
40970,Desvenlafaxin ER Tab 100 mg 90,41586,0
40970,Desvenlafaxin ER Tab 100 mg 90,3352,0
40970,Desvenlafaxin ER Tab 100 mg 90,15170,0
40972,Desvenlafaxine ER Tab 50 mg 500,980,0
40972,Desvenlafaxine ER Tab 50 mg 500,320,0
40972,Desvenlafaxine ER Tab 50 mg 500,570,0
40972,Desvenlafaxine ER Tab 50 mg 500,820,0
41024,Mycophenolic Sod DR Tab 180 mg 120,13351,0
41024,Mycophenolic Sod DR Tab 180 mg 120,11674,0
41024,Mycophenolic Sod DR Tab 180 mg 120,23416,0
41025,Mycophenolic Sod DR Tab 360 mg 120,10770,0
41025,Mycophenolic Sod DR Tab 360 mg 120,8853,0
41025,Mycophenolic Sod DR Tab 360 mg 120,17726,0
41027,Fluticasone Pro NS USP 50 mcg,235070,0
41027,Fluticasone Pro NS USP 50 mcg,235735,0
41027,Fluticasone Pro NS USP 50 mcg,234405,0
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,33923,0
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,26688,0
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,53376,0
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,26189,0
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,49718,0
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,99502,0
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,128083,0
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,57291,0
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,114582,0
41068,Metoprolol Tar Tab USP 50mg 100 UnTS,8813,0
41068,Metoprolol Tar Tab USP 50mg 100 UnTS,32,0
41068,Metoprolol Tar Tab USP 50mg 100 UnTS,64,0
41068,Metoprolol Tar Tab USP 50mg 100 UnTS,96,0
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,60909,0
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,30138,0
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,65728,0
41072,Metoprolol Tar Tab USP 100mg 100 UnTS,6437,0
41072,Metoprolol Tar Tab USP 100mg 100 UnTS,2896,0
41072,Metoprolol Tar Tab USP 100mg 100 UnTS,5791,0
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,48198,0
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,14104,0
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,28208,0
45018,Haloperidol OS USP 2MG/ML (15 ML HDPE),18210,0
45018,Haloperidol OS USP 2MG/ML (15 ML HDPE),1348,0
45018,Haloperidol OS USP 2MG/ML (15 ML HDPE),2696,0
45019,Haloperidol OS USP 2MG/ML (120 ML HDPE),33404,0
45019,Haloperidol OS USP 2MG/ML (120 ML HDPE),1095,0
45019,Haloperidol OS USP 2MG/ML (120 ML HDPE),2190,0
